# Test vector for Lab 2

# Equation 1
A1 B1 C1 True1
0   0  0     0
0   0  1     0
0   1  0     1
0   1  1     0
1   0  0     1
1   0  1     0
1   1  0     0
1   1  1     1











# Equation 2 
A2  B2  C2  D2  True2
0   0   0   0    0
0   0   0   1    0
0   0   1   0    1
0   0   1   1    0
0   1   0   0    0
0   1   0   1    0
0   1   1   0    0
0   1   1   1    1
1   0   0   0    0
1   0   0   1    0
1   0   1   0    1
1   0   1   1    0
1   1   0   0    0
1   1   0   1    0
1   1   1   0    1
1   1   1   1    0
